id,ident,type,name,location.longitude,location.latitude,location,_location_latitude,_location_longitude,_location_altitude,_location_precision,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,meta/instanceID,_id,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
3066,GABS,medium_airport,Senou Airport,-7.949940205,12.53349972,12.53349972 -7.949940205,,,,,12467,ML-4,Senou,1,GABS,n/a,n/a,http://en.wikipedia.org/wiki/Senou_International_Airport,uuid:5d5264f5-325c-4f27-afae-d3228c64b259,762771,5d5264f5-325c-4f27-afae-d3228c64b259,2014-11-25T08:34:51,,,201504241553,,,n/a,n/a,n/a,n/a
3068,GAKY,medium_airport,Kayes Dag Dag Airport,-11.40439987,14.48120022,14.48120022 -11.40439987  ,14.48120022,-11.40439987,,,164,ML-1,n/a,1,GAKY,n/a,n/a,http://en.wikipedia.org/wiki/Kayes_Airport,uuid:8a140913-9596-480c-b6d4-c78587a70755,762772,8a140913-9596-480c-b6d4-c78587a70755,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
3069,GAMB,medium_airport,Ambodedjo Airport,-4.079559803,14.51280022,14.51280022 -4.079559803  ,14.51280022,-4.079559803,,,906,ML-5,n/a,1,GAMB,n/a,n/a,http://en.wikipedia.org/wiki/Mopti_Airport,uuid:1868f4dd-b578-4d0e-83a3-962bee2d8a58,762773,1868f4dd-b578-4d0e-83a3-962bee2d8a58,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
3067,GAGO,medium_airport,Gao Airport,-0.005456,16.24839973,16.24839973 -0.005456  ,16.24839973,-0.005456,,,870,ML-7,n/a,1,GAGO,n/a,n/a,http://en.wikipedia.org/wiki/Gao_International_Airport,uuid:c4301035-456d-49ed-86d8-ab94555e3892,762774,c4301035-456d-49ed-86d8-ab94555e3892,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
3071,GATB,medium_airport,Timbuktu Airport,-3.007580042,16.73049927,16.73049927 -3.007580042  ,16.73049927,-3.007580042,,,863,ML-7,Timbuktu,1,GATB,n/a,n/a,http://en.wikipedia.org/wiki/Timbuktu_Airport,uuid:4a4bbe8a-1a8f-408b-b673-f95c80e5d508,762775,4a4bbe8a-1a8f-408b-b673-f95c80e5d508,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
4684,GA1A,small_airport,Kayes Airport,-11.43970013,14.43130016,14.43130016 -11.43970013  ,14.43130016,-11.43970013,,,161,ML-1,n/a,0,GA1A,GA1A,n/a,n/a,uuid:3583f53d-cb75-4605-bbcd-e5ae9f4d5a1e,762776,3583f53d-cb75-4605-bbcd-e5ae9f4d5a1e,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
4685,ML-0001,small_airport,Manantali Bengassi Airport,-10.50430012,13.25559998,13.25559998 -10.50430012  ,13.25559998,-10.50430012,,,538,ML-1,Manantali,0,n/a,n/a,n/a,http://en.wikipedia.org/wiki/Bengassi_Airport,uuid:0f446d5c-e1a6-4d58-afea-eafcabb5ab8d,762777,0f446d5c-e1a6-4d58-afea-eafcabb5ab8d,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31034,GAYE,small_airport,Y̩liman̩ Airport,-10.56700039,15.13300037,15.13300037 -10.56700039  ,15.13300037,-10.56700039,,,325,ML-1,Y̩liman̩,0,GAYE,n/a,n/a,n/a,uuid:81f96e1d-ad65-4161-a7af-50975c361892,762778,81f96e1d-ad65-4161-a7af-50975c361892,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31501,GABF,small_airport,Bafoulabe Airport,-10.85000038,13.80000019,13.80000019 -10.85000038  ,13.80000019,-10.85000038,,,380,ML-1,Bafoulabe,0,GABF,n/a,n/a,http://en.wikipedia.org/wiki/Bafoulab%C3%A9_Airport,uuid:991ac646-a95e-41e2-96fa-f1ebf0635d5e,762779,991ac646-a95e-41e2-96fa-f1ebf0635d5e,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31510,GAKT,small_airport,Kita Airport,-9.482999802,13.06700039,13.06700039 -9.482999802  ,13.06700039,-9.482999802,,,1122,ML-1,Kita,0,GAKT,n/a,n/a,n/a,uuid:cd60ac77-ec42-4d31-8b5c-3c57e82c827e,762780,cd60ac77-ec42-4d31-8b5c-3c57e82c827e,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
